Water Pump ID,Water Source Type,Water Quality,Distance to Nearest Town,Population Served,Installation Year,Funder,Payment Type,Water Pump Age,Pump Type,GPS Coordinates,Functioning Status
WP860,,Clean,18.0,14000.0,2006.0,USAID,Free,18.0,Motorized Pump,"(-18.767125583933506, 24.52903798978022)",Not Functioning
WP861,Lake,Clean,44.0,13000.0,2012.0,Red Cross,Pay per use,12.0,Hand Pump,"(-22.49538002824111, 22.774183656630484)",Not Functioning
WP862,Lake,Clean,56.0,11000.0,1994.0,USAID,Pay per use,30.0,Hand Pump,"(-20.5744422083289, 27.148471003591723)",Not Functioning
WP863,Well,Clean,21.0,12000.0,1991.0,Red Cross,Pay per use,33.0,Motorized Pump,"(-23.2548052338592, 28.62970412410806)",Not Functioning
WP864,Lake,Contaminated,38.0,14000.0,2018.0,Red Cross,Free,6.0,Solar Pump,"(-18.409329891871792, 26.380560078807303)",Functioning
WP865,Lake,Clean,17.0,12000.0,2017.0,,Free,7.0,Hand Pump,"(-23.95817206484306, 22.134950904040004)",Functioning
WP866,Well,Clean,17.0,19000.0,2016.0,Oxfam,Free,8.0,Hand Pump,"(-20.079230973214084, 27.604138759567068)",Functioning
WP867,Lake,Clean,15.0,16000.0,2017.0,Red Cross,,7.0,Motorized Pump,,Not Functioning
WP868,Well,Clean,11.0,14000.0,2000.0,World Bank,Pay per use,24.0,Hand Pump,"(-17.77039478260769, 24.790453173233313)",Functioning
WP869,Well,Clean,50.0,15000.0,1993.0,UNICEF,Pay per use,,Hand Pump,,Not Functioning
WP870,Well,Clean,63.0,14000.0,,USAID,Free,22.0,Motorized Pump,"(-18.09792192321112, 27.231211191055085)",Functioning
WP871,Well,Clean,15.0,14000.0,1999.0,Red Cross,Pay per use,25.0,Solar Pump,"(-19.119566203322552, 25.630937723569417)",Functioning
WP872,River,Clean,57.0,13000.0,2009.0,Red Cross,Pay per use,15.0,Motorized Pump,"(-19.37643161330599, 25.111010199072666)",Functioning
WP873,Lake,Clean,37.0,14000.0,2012.0,,,12.0,Motorized Pump,"(-17.812883316977377, 24.03933705892561)",Functioning
WP874,River,Clean,37.0,12000.0,1991.0,World Bank,Free,33.0,Motorized Pump,"(-23.22358695097338, 21.919864839651815)",Not Functioning
WP875,Lake,Clean,40.0,12000.0,2007.0,,,17.0,Motorized Pump,"(-17.54465432372151, 28.478986203076747)",Not Functioning
WP876,Lake,Clean,38.0,,1997.0,Oxfam,Pay per use,27.0,,"(-21.936316701755793, 27.502972969303244)",Not Functioning
WP877,Lake,Clean,50.0,16000.0,2018.0,Red Cross,Pay per use,6.0,Hand Pump,,Not Functioning
WP878,Lake,,52.0,7000.0,2018.0,,Pay per use,6.0,Motorized Pump,"(-23.103793390122615, 19.3911357987912)",Functioning
WP879,River,Clean,15.0,16000.0,2013.0,Oxfam,Pay per use,11.0,Motorized Pump,"(-21.288433738093822, 25.320220438529617)",Functioning
WP880,River,Clean,49.0,13000.0,2020.0,Oxfam,Free,4.0,Hand Pump,"(-20.823301695386007, 21.866618000282863)",Functioning
WP881,Lake,Clean,44.0,12000.0,2017.0,Oxfam,Pay per use,7.0,Motorized Pump,"(-23.404804688786495, 26.52847362895273)",Not Functioning
WP882,Lake,Clean,24.0,15000.0,2013.0,World Bank,Pay per use,11.0,Hand Pump,"(-19.940361061396633, 28.497333904823023)",Functioning
WP883,River,Clean,32.0,,2016.0,USAID,Pay per use,8.0,Hand Pump,"(-23.126417519910074, 19.66718391424446)",Not Functioning
,,Clean,16.0,20000.0,1991.0,USAID,Pay per use,33.0,Motorized Pump,"(-20.20587199176167, 27.9934648375751)",Functioning
WP885,Lake,Clean,21.0,13000.0,1996.0,USAID,Free,28.0,Solar Pump,"(-22.927416907679444, 23.422718201471106)",Not Functioning
WP886,,Clean,50.0,14000.0,2005.0,Red Cross,Pay per use,19.0,Hand Pump,"(-21.227869090574668, 24.65601910061449)",Not Functioning
WP887,Lake,Clean,23.0,15000.0,2019.0,USAID,Pay per use,5.0,Hand Pump,"(-22.771767326474517, 22.304365936357108)",Not Functioning
WP888,Lake,Clean,33.0,12000.0,2020.0,Red Cross,Pay per use,4.0,Hand Pump,"(-22.219829497470016, 25.496230739379584)",Not Functioning
WP889,Well,Clean,34.0,10000.0,2001.0,USAID,Pay per use,23.0,Hand Pump,"(-21.9752920790858, 22.724229983987666)",Not Functioning
WP890,Lake,Clean,46.0,11000.0,2003.0,Oxfam,Free,21.0,Motorized Pump,"(-21.249286306608177, 20.799753854910776)",Functioning
WP891,River,Contaminated,8.0,13000.0,1996.0,Oxfam,Free,28.0,Motorized Pump,"(-18.595807069918344, 26.49215232921711)",Not Functioning
WP892,Well,Clean,45.0,16000.0,1997.0,Oxfam,Pay per use,27.0,Hand Pump,"(-23.543397730225855, 26.588152769190014)",Functioning
WP893,Well,Clean,50.0,11000.0,2001.0,World Bank,Free,23.0,Hand Pump,"(-20.30768880292998, 24.357832867176402)",Not Functioning
WP894,Well,Clean,44.0,10000.0,2015.0,Oxfam,,9.0,Hand Pump,"(-17.88207382474004, 27.513562164578467)",Functioning
WP895,Lake,Clean,27.0,12000.0,2017.0,Oxfam,Pay per use,7.0,Hand Pump,"(-22.36427855783994, 20.54413877764067)",
WP896,Lake,,35.0,14000.0,2011.0,Oxfam,,13.0,Motorized Pump,"(-20.63877883708074, 20.093566115677987)",Not Functioning
WP897,Well,Clean,14.0,15000.0,2000.0,Oxfam,Pay per use,24.0,Motorized Pump,"(-23.318227544017898, 24.56403244029792)",Not Functioning
WP898,Well,Clean,45.0,11000.0,1990.0,Red Cross,Pay per use,34.0,Motorized Pump,"(-21.103082037041734, 19.786585852482585)",Functioning
WP899,Lake,Clean,43.0,12000.0,2008.0,World Bank,Pay per use,16.0,Solar Pump,"(-21.67991011931251, 25.897556179441768)",Functioning
WP900,Lake,Clean,36.0,11000.0,2020.0,Red Cross,Pay per use,4.0,Motorized Pump,"(-23.92860180773131, 22.761368798649332)",Not Functioning
WP901,Well,Clean,24.0,15000.0,2003.0,Red Cross,Pay per use,21.0,Hand Pump,"(-19.511125710323554, 20.007992222277675)",Functioning
WP902,Well,Clean,22.0,12000.0,,World Bank,Pay per use,21.0,Hand Pump,"(-18.536154264219114, 24.264317899048997)",Functioning
WP903,Well,Clean,30.0,12000.0,1991.0,Red Cross,Pay per use,33.0,Hand Pump,"(-21.816270407202047, 22.129539578988936)",Functioning
WP904,Well,Contaminated,30.0,20000.0,1990.0,Red Cross,Free,34.0,Motorized Pump,"(-21.251687325648334, 22.73604120690259)",
WP905,Well,Clean,34.0,19000.0,2011.0,Red Cross,Pay per use,13.0,Hand Pump,"(-20.571747291707524, 26.298621593726857)",Functioning
WP906,Lake,Clean,29.0,15000.0,2000.0,Oxfam,Pay per use,24.0,Motorized Pump,"(-23.461893495779627, 19.923689039819962)",Not Functioning
WP907,Borehole,Clean,14.0,11000.0,1991.0,Red Cross,Pay per use,33.0,Hand Pump,"(-21.53634794121267, 19.360032680678547)",Not Functioning
WP908,Lake,Clean,34.0,15000.0,2017.0,UNICEF,Pay per use,7.0,Hand Pump,"(-22.746367829530012, 22.015348427633164)",Functioning
WP909,Lake,Clean,16.0,14000.0,2008.0,Oxfam,Pay per use,16.0,,"(-22.487391683417744, 22.21830840894986)",Not Functioning
WP910,Well,Contaminated,40.0,15000.0,2011.0,World Bank,Pay per use,13.0,Hand Pump,"(-18.919792971505704, 24.46484132173516)",Not Functioning
WP911,Lake,Clean,46.0,12000.0,2004.0,Oxfam,Pay per use,20.0,Hand Pump,,Functioning
WP912,Well,Clean,10.0,11000.0,1991.0,Oxfam,Pay per use,33.0,Motorized Pump,"(-23.89793125838208, 23.722368159222675)",Functioning
WP913,River,Contaminated,31.0,13000.0,2002.0,,Pay per use,22.0,Motorized Pump,"(-20.70855882401576, 25.522373727018827)",Not Functioning
WP914,Lake,Clean,29.0,14000.0,2020.0,Oxfam,Free,4.0,Motorized Pump,"(-20.572683419021256, 25.411327704313855)",Functioning
WP915,Well,Clean,41.0,11000.0,2002.0,Oxfam,Pay per use,22.0,Hand Pump,"(-23.69704292714324, 19.77768293427937)",Functioning
WP916,Lake,Contaminated,47.0,13000.0,1995.0,Red Cross,Pay per use,29.0,Hand Pump,"(-22.118461664183307, 23.82447302523467)",Not Functioning
WP917,Lake,Clean,52.0,12000.0,2007.0,Red Cross,Free,17.0,Hand Pump,"(-20.1218947487618, 26.41883030954552)",Not Functioning
WP918,Well,Clean,,16000.0,2018.0,UNICEF,Pay per use,6.0,Motorized Pump,"(-22.747575072319833, 26.411133327502167)",Not Functioning
WP919,Well,Clean,39.0,15000.0,2010.0,,Pay per use,14.0,Hand Pump,"(-19.329314565965227, 22.835019281048844)",Functioning
WP920,River,Clean,,13000.0,2006.0,Oxfam,Pay per use,18.0,Motorized Pump,"(-21.208551283918258, 22.550638811012444)",Functioning
WP921,Well,Clean,15.0,11000.0,2005.0,Red Cross,Pay per use,19.0,Hand Pump,"(-19.648051531856222, 28.176631377873104)",Functioning
WP922,Lake,Clean,30.0,15000.0,2009.0,Red Cross,Pay per use,15.0,Hand Pump,"(-21.809931833779316, 26.91097432321021)",Not Functioning
WP923,Well,Clean,47.0,15000.0,1992.0,Red Cross,Pay per use,32.0,,"(-20.56964066679529, 21.520803620553405)",
WP924,Lake,Clean,36.0,14000.0,2001.0,UNICEF,Pay per use,23.0,Hand Pump,"(-21.88893131682539, 26.111077754404835)",Not Functioning
WP925,Lake,Clean,25.0,11000.0,2000.0,Oxfam,Free,24.0,Motorized Pump,"(-17.826253894373792, 27.728886769045832)",Not Functioning
WP926,Lake,Clean,,12000.0,1996.0,Oxfam,Pay per use,28.0,Motorized Pump,"(-23.998132054835363, 19.76813010414025)",Not Functioning
,River,Clean,32.0,19000.0,1994.0,Red Cross,Pay per use,30.0,Motorized Pump,"(-21.748912010781574, 25.389129559911403)",Functioning
WP928,River,Clean,15.0,12000.0,,Red Cross,Free,8.0,Motorized Pump,"(-18.40829828414025, 21.4951092721973)",Functioning
WP929,Lake,Clean,33.0,16000.0,1991.0,UNICEF,Pay per use,33.0,Hand Pump,"(-22.230270433528716, 21.027910006087335)",Not Functioning
WP930,Well,Clean,37.0,15000.0,2015.0,Red Cross,Pay per use,9.0,Hand Pump,,Functioning
,Lake,Clean,34.0,12000.0,2009.0,Red Cross,Free,15.0,Motorized Pump,"(-22.003405781167142, 26.983461283348788)",Not Functioning
WP932,Lake,Contaminated,14.0,11000.0,2020.0,USAID,Free,4.0,Hand Pump,"(-18.379436862241047, 27.21979620106031)",Not Functioning
WP933,Borehole,Clean,46.0,15000.0,2005.0,UNICEF,Pay per use,19.0,Motorized Pump,"(-22.52928477949439, 20.705125891243906)",Not Functioning
WP934,Lake,Clean,,18000.0,1992.0,Oxfam,Pay per use,32.0,Hand Pump,"(-23.48371473558544, 21.659706279737566)",Not Functioning
WP935,Well,Clean,40.0,19000.0,2000.0,World Bank,Pay per use,24.0,Hand Pump,"(-21.37929993679427, 26.703081864104274)",Not Functioning
WP936,Lake,Clean,50.0,10000.0,1999.0,Red Cross,Pay per use,25.0,Hand Pump,"(-21.41587332140904, 24.391731161558933)",Not Functioning
WP937,Lake,Contaminated,,16000.0,1992.0,USAID,Pay per use,32.0,Hand Pump,"(-22.59356189565588, 21.391770791331574)",Not Functioning
WP938,Lake,Clean,42.0,15000.0,2020.0,Red Cross,Free,4.0,Hand Pump,"(-21.53745050662452, 21.26768208153346)",Not Functioning
WP939,River,Clean,52.0,15000.0,,Oxfam,Pay per use,8.0,Motorized Pump,"(-23.930911767209892, 24.059660579314322)",Functioning
WP940,Lake,Clean,46.0,15000.0,1993.0,Oxfam,Pay per use,31.0,Motorized Pump,"(-23.879483741484506, 20.8447178001764)",Not Functioning
,Well,Clean,21.0,12000.0,1994.0,World Bank,Pay per use,30.0,Hand Pump,"(-18.256811278134062, 27.92107290794332)",Not Functioning
WP942,Lake,Clean,,10000.0,2009.0,UNICEF,Pay per use,15.0,Motorized Pump,"(-21.685607216849093, 22.586169466913745)",Not Functioning
WP943,Well,Clean,51.0,10000.0,2002.0,Red Cross,Pay per use,22.0,Motorized Pump,"(-22.331181976097554, 25.727641399692274)",Functioning
WP944,Well,Contaminated,11.0,12000.0,2006.0,Red Cross,Pay per use,18.0,Hand Pump,"(-20.91373996536291, 24.851368844726682)",Not Functioning
WP945,Lake,Clean,21.0,14000.0,2010.0,Red Cross,Free,14.0,Motorized Pump,"(-22.5611110493523, 22.8078351430668)",Functioning
WP946,Lake,Clean,43.0,9000.0,2001.0,,Pay per use,23.0,Motorized Pump,"(-18.89658739226961, 26.604843711885046)",Not Functioning
WP947,Well,Clean,49.0,12000.0,2000.0,USAID,Pay per use,24.0,Motorized Pump,"(-20.482935253183733, 24.907449679510695)",Functioning
WP948,Well,Clean,32.0,13000.0,2002.0,Red Cross,Free,22.0,Motorized Pump,"(-18.526152595127538, 26.237089895651906)",Functioning
WP949,River,Clean,14.0,18000.0,2012.0,USAID,,12.0,Hand Pump,"(-21.78644759501279, 24.797297860990504)",Functioning
WP950,Lake,Clean,22.0,8000.0,2019.0,UNICEF,Pay per use,5.0,Motorized Pump,"(-22.974753425102115, 21.40302427103026)",
WP951,Well,Contaminated,17.0,10000.0,2017.0,Red Cross,Pay per use,7.0,Motorized Pump,"(-22.65911278185871, 22.054880129986586)",Not Functioning
,Well,Clean,47.0,17000.0,2012.0,UNICEF,Pay per use,12.0,Solar Pump,"(-22.375430039557365, 20.73445003148996)",Functioning
,Lake,Clean,,14000.0,2004.0,UNICEF,Pay per use,20.0,Solar Pump,"(-21.67580715417304, 21.28373379251508)",Not Functioning
WP954,River,Clean,52.0,11000.0,2010.0,Oxfam,Pay per use,14.0,Hand Pump,"(-18.786334849849414, 28.30258649800694)",Functioning
WP955,Lake,Clean,46.0,,2019.0,Red Cross,Pay per use,5.0,Motorized Pump,"(-18.445295132926486, 25.119518299961726)",Not Functioning
WP956,,Clean,42.0,12000.0,2008.0,USAID,Pay per use,16.0,Hand Pump,"(-23.532449252538186, 19.1843723092336)",Functioning
WP957,River,Clean,46.0,14000.0,2003.0,Oxfam,Pay per use,,Motorized Pump,"(-23.30061006220716, 20.094580891965023)",Functioning
WP958,Lake,Clean,35.0,15000.0,1990.0,UNICEF,Pay per use,34.0,Hand Pump,"(-21.83639428101974, 28.500390091770537)",Functioning
WP959,Well,Clean,50.0,10000.0,2002.0,UNICEF,Pay per use,22.0,Motorized Pump,"(-22.194639824355477, 19.092808133450905)",
WP960,Lake,Clean,43.0,12000.0,2002.0,World Bank,Pay per use,22.0,Hand Pump,"(-21.57434368120302, 19.55460881213615)",Not Functioning
WP961,Well,Clean,17.0,13000.0,2015.0,World Bank,Pay per use,9.0,Hand Pump,"(-18.999535329127227, 27.027972293266703)",Not Functioning
WP962,Lake,Clean,39.0,14000.0,2020.0,Oxfam,Free,4.0,Hand Pump,"(-19.8573831776044, 26.6554936251082)",Not Functioning
WP963,River,Clean,12.0,14000.0,2007.0,Oxfam,Free,17.0,Hand Pump,"(-17.84003460246188, 28.18941599902962)",Not Functioning
WP964,Lake,Clean,31.0,16000.0,1996.0,USAID,Pay per use,28.0,Hand Pump,"(-18.080272370779202, 25.846143863085384)",Not Functioning
WP965,River,Contaminated,38.0,14000.0,2002.0,Red Cross,Pay per use,22.0,Hand Pump,"(-19.024892923270237, 27.556655108705908)",Not Functioning
WP966,River,Clean,48.0,17000.0,2011.0,Red Cross,Free,13.0,Hand Pump,"(-23.350852407697182, 24.062398009600543)",Not Functioning
WP967,,,23.0,12000.0,1997.0,Red Cross,Pay per use,,Motorized Pump,"(-19.508690482580047, 24.242229356604543)",Not Functioning
WP968,River,Clean,42.0,9000.0,2002.0,Red Cross,Pay per use,22.0,Hand Pump,"(-21.238203651981028, 26.058193557100292)",Not Functioning
WP969,Lake,,76.0,16000.0,2006.0,Red Cross,Free,18.0,Solar Pump,"(-19.746510952855992, 27.1720502537427)",Not Functioning
WP970,Well,Clean,16.0,14000.0,2003.0,Oxfam,Free,21.0,Motorized Pump,"(-18.546196032685796, 26.11130801774212)",Functioning
WP971,Well,Clean,39.0,12000.0,2008.0,Red Cross,Pay per use,16.0,Hand Pump,"(-20.724173780740717, 26.770714494355317)",
WP972,Well,Clean,45.0,7000.0,2006.0,Red Cross,Pay per use,18.0,Hand Pump,"(-19.347082488019787, 24.66848221163566)",Functioning
WP973,River,,40.0,10000.0,2012.0,Red Cross,Pay per use,12.0,Hand Pump,"(-23.95757528284286, 21.431377361308105)",Not Functioning
WP974,,Contaminated,42.0,15000.0,2004.0,,Pay per use,20.0,Hand Pump,"(-18.329328946707953, 26.946307177461815)",Not Functioning
,Well,Clean,43.0,14000.0,2001.0,World Bank,Free,23.0,Solar Pump,"(-21.17252910135113, 24.74395309316322)",
WP976,Well,Contaminated,31.0,18000.0,2008.0,UNICEF,Pay per use,16.0,Motorized Pump,"(-21.82649514853326, 26.827899139337802)",Functioning
WP977,Well,Clean,53.0,11000.0,2006.0,Oxfam,Pay per use,18.0,Hand Pump,"(-17.532414451026852, 27.501269302912636)",Functioning
WP978,Lake,Contaminated,43.0,12000.0,2001.0,Oxfam,Pay per use,23.0,Motorized Pump,"(-19.280623002846774, 28.043702025926535)",Not Functioning
WP979,Lake,,21.0,13000.0,2002.0,,Pay per use,22.0,,"(-22.21667877749547, 22.073488180858472)",Not Functioning
WP980,Lake,Clean,43.0,20000.0,2007.0,Red Cross,Free,17.0,Motorized Pump,"(-20.110028316777992, 22.193109790519017)",Not Functioning
WP981,Well,Clean,52.0,12000.0,2019.0,Red Cross,Pay per use,5.0,Motorized Pump,"(-22.55418058432214, 22.696673141977318)",Functioning
WP982,Lake,,42.0,14000.0,2001.0,Oxfam,Free,,Hand Pump,"(-21.208289700217772, 24.76588732189339)",Not Functioning
WP983,Well,,72.0,12000.0,2006.0,Oxfam,Pay per use,18.0,Motorized Pump,"(-23.323607380628328, 25.68404780372517)",Functioning
WP984,Lake,,21.0,14000.0,1990.0,USAID,Pay per use,34.0,Motorized Pump,"(-18.840180448442123, 26.718642695032255)",Not Functioning
WP985,Well,Clean,55.0,13000.0,1998.0,Red Cross,Pay per use,26.0,Motorized Pump,"(-19.008004217662613, 24.44971217272066)",Not Functioning
WP986,Well,Clean,41.0,11000.0,2004.0,Red Cross,Free,20.0,Solar Pump,"(-22.307124383529896, 22.973642388488965)",Functioning
WP987,Well,Clean,26.0,13000.0,1992.0,Oxfam,Pay per use,32.0,Solar Pump,"(-23.736050330429524, 24.76074958504023)",Functioning
WP988,Lake,Clean,14.0,15000.0,2020.0,Red Cross,Free,4.0,Solar Pump,"(-21.65672636966955, 19.582486775018133)",Not Functioning
WP989,Lake,Clean,18.0,12000.0,2016.0,Oxfam,Pay per use,8.0,Motorized Pump,"(-21.851432672588142, 26.967312510700282)",Not Functioning
WP990,Well,Clean,16.0,9000.0,2014.0,Oxfam,Pay per use,,Hand Pump,"(-17.508489856576197, 25.383100543820426)",Not Functioning
WP991,Well,Clean,13.0,20000.0,1994.0,Red Cross,Pay per use,30.0,,"(-19.983815676082934, 28.41203137216104)",Not Functioning
WP992,Lake,Clean,34.0,6000.0,1990.0,Red Cross,Pay per use,34.0,,"(-21.816290557352485, 26.391495216069405)",Functioning
WP993,River,Contaminated,29.0,13000.0,2020.0,World Bank,Pay per use,4.0,Hand Pump,"(-23.677885689019583, 22.246533890944136)",Not Functioning
WP994,Lake,Clean,,9000.0,2010.0,Red Cross,Pay per use,14.0,Hand Pump,"(-18.516143803883708, 21.717313513130687)",Not Functioning
WP995,Borehole,Clean,48.0,9000.0,1990.0,Red Cross,Pay per use,34.0,Hand Pump,"(-22.03277355705349, 19.997534315651947)",Not Functioning
WP996,River,Clean,,15000.0,2012.0,Red Cross,Pay per use,12.0,Motorized Pump,"(-21.421857468112215, 26.30414390655545)",Not Functioning
WP997,Lake,Clean,48.0,10000.0,2011.0,Red Cross,Pay per use,13.0,Hand Pump,"(-22.615544533580245, 22.001621875809672)",Not Functioning
WP998,Well,Clean,39.0,,2005.0,Red Cross,Pay per use,19.0,Motorized Pump,"(-23.349531060366683, 25.171977898185567)",Functioning
WP999,Lake,Clean,17.0,17000.0,1997.0,Red Cross,Free,27.0,Hand Pump,"(-17.64488486363728, 28.81353473475773)",Not Functioning
WP1000,Lake,Clean,41.0,12000.0,2003.0,Red Cross,Free,21.0,Hand Pump,"(-19.999026492891826, 24.344285955918057)",Not Functioning
WP1001,Lake,Clean,45.0,15000.0,2019.0,Red Cross,Free,5.0,Hand Pump,"(-23.948125877279914, 19.785411786373693)",Functioning
WP1002,Well,Clean,17.0,16000.0,1997.0,USAID,Pay per use,27.0,Hand Pump,"(-17.798882431692576, 19.76939385535835)",Functioning
WP1003,Well,Clean,47.0,13000.0,1992.0,World Bank,Pay per use,32.0,Motorized Pump,"(-23.421162382815417, 21.58679442468102)",Functioning
WP1004,Lake,Clean,15.0,7000.0,2019.0,Red Cross,Pay per use,5.0,Hand Pump,"(-23.612100297884517, 21.04512685807824)",Not Functioning
WP1005,Lake,Clean,40.0,14000.0,2006.0,USAID,Free,18.0,Hand Pump,"(-18.04425136798629, 28.617968706120287)",Functioning
WP1006,Lake,Clean,55.0,11000.0,1996.0,World Bank,Pay per use,28.0,Hand Pump,"(-18.67541243471024, 24.654158631755646)",Not Functioning
WP1007,Lake,Clean,22.0,8000.0,2002.0,Oxfam,,22.0,Motorized Pump,"(-19.927823538245597, 26.914353101496996)",Functioning
WP1008,Lake,Clean,5.0,19000.0,1992.0,Oxfam,Pay per use,32.0,Hand Pump,"(-21.858143178786364, 26.54566911742731)",Not Functioning
WP1009,Lake,Clean,17.0,,2012.0,,Pay per use,12.0,Hand Pump,,
WP1010,Lake,Clean,44.0,12000.0,2019.0,UNICEF,Pay per use,5.0,Motorized Pump,"(-20.21346866155019, 27.118449214650877)",Not Functioning
WP1011,Well,Clean,19.0,11000.0,1998.0,Red Cross,Pay per use,26.0,Hand Pump,"(-19.50357938602904, 26.293143185295882)",Functioning
WP1012,Lake,Clean,19.0,12000.0,2019.0,UNICEF,Free,5.0,Motorized Pump,"(-22.500167234906026, 26.71262985567062)",Not Functioning
WP1013,Well,Clean,24.0,10000.0,1995.0,Oxfam,Pay per use,29.0,Hand Pump,"(-21.62444861182764, 21.346634537421572)",Functioning
WP1014,Lake,Clean,36.0,12000.0,2016.0,Oxfam,Pay per use,8.0,Solar Pump,"(-21.45658736148889, 21.19896709080708)",Not Functioning
WP1015,Lake,Clean,41.0,12000.0,2017.0,World Bank,Free,7.0,Hand Pump,"(-22.52485602382607, 21.986156939196928)",Not Functioning
,Well,Clean,29.0,12000.0,2002.0,Red Cross,Pay per use,22.0,Motorized Pump,"(-21.120320249461674, 19.213371987258814)",Functioning
WP1017,Borehole,Clean,,20000.0,2012.0,Red Cross,Pay per use,12.0,Hand Pump,"(-20.29938375196213, 25.406174034491677)",Not Functioning
WP1018,,Contaminated,50.0,18000.0,2017.0,Red Cross,Pay per use,7.0,Motorized Pump,"(-18.136076067484936, 26.173254066397945)",Not Functioning
WP1019,Well,Clean,46.0,15000.0,2001.0,UNICEF,Pay per use,23.0,Hand Pump,"(-18.375885322573723, 24.465566392249343)",Not Functioning
WP1020,Well,Clean,19.0,13000.0,,World Bank,Pay per use,27.0,Motorized Pump,"(-18.8379041889657, 27.41091389483562)",Not Functioning
WP1021,River,Clean,9.0,19000.0,1990.0,Oxfam,Free,34.0,Motorized Pump,"(-21.974374232139873, 21.01269844151279)",Not Functioning
WP1022,River,Clean,38.0,12000.0,2007.0,USAID,Free,17.0,Motorized Pump,,Functioning
WP1023,Lake,Contaminated,17.0,16000.0,2010.0,World Bank,Pay per use,,Hand Pump,"(-22.820139829201555, 25.44176037351691)",Not Functioning
,Lake,Clean,,17000.0,,Red Cross,,30.0,Motorized Pump,"(-17.97578213098173, 26.998108659917868)",Functioning
WP1025,River,Clean,51.0,13000.0,2019.0,World Bank,Free,5.0,Hand Pump,"(-18.44944157088324, 25.77839347723612)",Not Functioning
,Well,Clean,44.0,10000.0,2011.0,Red Cross,Pay per use,13.0,Hand Pump,"(-20.80243768189066, 27.756386363768385)",Functioning
WP1027,Well,Clean,30.0,14000.0,2000.0,Oxfam,Pay per use,24.0,Hand Pump,"(-23.090955040135157, 22.940440910719538)",Functioning
WP1028,River,Clean,15.0,12000.0,1990.0,Oxfam,Pay per use,34.0,,"(-21.593753369143236, 19.419150852658728)",Not Functioning
WP1029,Lake,Clean,20.0,7000.0,2009.0,World Bank,Pay per use,15.0,Motorized Pump,"(-21.863388049196978, 24.02111650506233)",Not Functioning
,Lake,Clean,28.0,11000.0,1992.0,,Pay per use,32.0,Motorized Pump,"(-21.941910267137555, 24.328989262276295)",Functioning
WP1031,Well,Clean,42.0,10000.0,1992.0,USAID,Pay per use,32.0,Hand Pump,"(-23.711432795139746, 24.713624683544715)",Functioning
WP1032,Lake,Contaminated,47.0,16000.0,1997.0,USAID,Pay per use,27.0,Hand Pump,"(-23.234517273925253, 19.748368482283993)",Not Functioning
WP1033,,Clean,32.0,14000.0,2012.0,UNICEF,Pay per use,12.0,Solar Pump,"(-22.80047819947022, 24.828777239329966)",Functioning
WP1034,River,Clean,34.0,18000.0,2007.0,Red Cross,Pay per use,17.0,Solar Pump,"(-23.644858541831578, 23.509987951863618)",Functioning
WP1035,Well,Clean,52.0,16000.0,2008.0,USAID,Pay per use,16.0,Motorized Pump,"(-19.181927901871173, 24.10325023263013)",Functioning
WP1036,River,Clean,47.0,8000.0,1997.0,Oxfam,Pay per use,27.0,Motorized Pump,"(-19.271483191390217, 25.10919442282947)",Functioning
WP1037,River,Clean,54.0,18000.0,2019.0,Oxfam,Pay per use,5.0,Hand Pump,"(-17.54690237949291, 24.98738370489135)",Not Functioning
WP1038,Well,Clean,16.0,15000.0,1993.0,Red Cross,Pay per use,31.0,Motorized Pump,,Functioning
WP1039,River,Clean,10.0,13000.0,1999.0,World Bank,Free,25.0,Hand Pump,"(-20.06408187924301, 24.857970938532773)",Not Functioning
WP1040,Lake,Clean,39.0,15000.0,1991.0,Red Cross,Free,33.0,Hand Pump,"(-22.155386758344278, 26.884758336146977)",Functioning
WP1041,Well,Contaminated,34.0,16000.0,2007.0,Red Cross,,17.0,Motorized Pump,"(-19.777374040452052, 24.25274300166754)",Functioning
WP1042,Well,Clean,37.0,19000.0,2013.0,Red Cross,Pay per use,11.0,Hand Pump,"(-19.79055671760792, 24.222816176220345)",Not Functioning
WP1043,Well,Clean,45.0,9000.0,2016.0,Oxfam,Pay per use,8.0,Motorized Pump,"(-23.322036757524003, 26.679546850703645)",Functioning
WP1044,Borehole,Clean,55.0,15000.0,1994.0,UNICEF,Pay per use,30.0,Hand Pump,"(-19.51676329230701, 25.0414709867797)",Not Functioning
WP1045,Lake,Clean,42.0,10000.0,2014.0,UNICEF,Pay per use,10.0,Hand Pump,"(-23.30764581805856, 26.6505134524601)",Functioning
WP1046,Well,Clean,59.0,18000.0,2007.0,Red Cross,Pay per use,17.0,Motorized Pump,"(-18.08813673183124, 28.727335797880325)",Functioning
WP1047,Well,,27.0,12000.0,1994.0,Oxfam,Free,30.0,Hand Pump,,Functioning
WP1048,Lake,Clean,14.0,15000.0,1996.0,Red Cross,Pay per use,28.0,Motorized Pump,"(-21.243896364146718, 24.215081519319213)",Not Functioning
WP1049,Well,Clean,15.0,12000.0,1994.0,Oxfam,Pay per use,30.0,Motorized Pump,"(-23.05192778147069, 28.41329254583849)",Functioning
WP1050,Borehole,Clean,19.0,13000.0,1991.0,Oxfam,Pay per use,33.0,Solar Pump,"(-19.38849214837879, 21.443216963645316)",Not Functioning
